,reviewText,reviewDate,reviewStar,reviewCity,reviewWebsite
96,"Hector is a great car, best handling, and torque I have ever experienced. AIl functions work good and the car generates ultimate power.","Nov 16, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/one-of-my-best-cars-93757.htm
97,"Good car, the look is beautiful, sunroof is good, the functions in the car are very good.","Nov 13, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/good-car-93587.htm
98,"MG Hector is a superb car, best in power, you feel the real luxury in this car. Five stars for this lovely beast. It's a luxurious powerful vehicle. ","Nov 13, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/best-car-mg-hector-93530.htm
99,"Nice and best car ever. Nice features at a very affordable price, beautiful interior and classic exterior.","Nov 13, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/nice-car-93572.htm
100,"MG Hector is an amazing car It is as good as an Audi Q7 the most attractive is the technology in this car and for me the sunroof and moonroof. The car is spacious the trunk is also huge and the price is also not that high, features are also amazing also the logo of the car is very attractive and design also not to forget the headlights and the taillights, very powerful. Thankyou MG waiting for more cars from you all.","Nov 07, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/for-life-mg-hector-92976.htm
101,"MG Hector has an eye-catching design, massive proportions and new-age tech make it a well-rounded package that should definitely be on the radar of prospective mid-size SUV owners. Though truly a rival for the Tata Harrier, Mahindra XUV500 and Jeep Compass in terms of its sheer size, keen pricing has also placed it precariously close to the likes of the Hyundai Creta.","Nov 08, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/worth-every-penny-mg-hecto-93052.htm
102,"One of the best car in the market currently. Yes MG Hector is everything that a customer can wish for. It uses the best engines, it has the best infotainment, best speakers, best aesthetic looks, imposing front grille, biggest sunroof, largest boot, best AI, most comfortable seating and what not. You ask for a feature and its there. This also happens to be the most fuel-efficient car in the segment. But then again when you buy a car worth 19 Lakhs do you really look for efficiency? No, I don't think so. Had this car been anything german then it would probably have costed thrice the current price. This car is indeed a head-turner. You grab the attention of other cars on the road when you drive this massive beast. ","Nov 08, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/go-for-it-mg-hector-93057.htm
103,MG Hector is an amazing car. This is a stylish car. All the cars of MG are amazing. MG Hector is one of the best cars. No other car can be compared with this car. Interior and the features of the car are amazing. It is a luxurious car. It is my dream car. Middle-class family can afford this car.,"Nov 12, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/amazing-car-mg-hector-93500.htm
104,"MG Hector is the best in the class car, awesome looks with great luxury feature especially the 360 view camera and the full sunroof. ","Nov 11, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/dream-car-mg-hector-93380.htm
105,"MG Hector is a nice car, nice interior and all variant are superb, superb design, interior, safety system, the average is nice, good for the long route. A complete car, adequate seating for 4-5 persons, this is best for a small family.","Nov 09, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/best-car-of-all-time-mg-hector-93201.htm
106,"Dreaming a lot to buy a car and searching which to buy, finally seen MG Hector fallen in love with the car, the MG pick-up is awesome with 2 persons, slightly slow with 5 to 6 members and once the engine turned off on the road while driving, I got tension and found the problem is in the fuel change, overall superb car ever bought this is my first car purchase love you MG.","Nov 07, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/original-beast-mg-hector-92991.htm
107,"MG Hector is an excellent car. Features are also excellent. Everything is good in this car, power, voice control, just like an Audi or BMW.","Nov 09, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/excellent-car-mg-hector-93195.htm
108,"Mg Hector feeling is like a luxurious car and a very costly car. Feels like Fortuner. Its ""hello mg"" feature helps a lot while driving.","Nov 08, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/luxurious-mg-hector-93060.htm
109,MG Hector has got stunning looks and features makes it the best car and the lighting styling and sunroof add to the marvel.,"Nov 11, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/the-car-rocks-mg-hector-93354.htm
110,"MG hector one of the best competitor in SUV segment cars. IN MG hector all the feature are top class and very satisfying especially in Indian roads hector performed very effectively, Ground clearance is best in class.","Oct 31, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/review-mg-hector-92321.htm
111,"Done 2 months with MG Hector. Loved each moment I drove it. Somehow managed to get over 10 Kmpl avg after 2000km on Petrol DCT Automatic driving in Delhi NCR. If anything that could have been better, I wish suspensions were as good as those of Jeep Compass. Nevertheless, better suspensions than many others in the segment.","Nov 06, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/beautiful-and-beastly-mg-hector-92911.htm
112,MG Hector is my dream car. It is a very good looking car. It has a beautiful look rather than others. Its interior is very beautiful and looks like a luxury car from the interior. It has also the best build quality. It is best for running on Indian roads. It's a very beautiful SUV car. It can defeat the craze of Scorpio as it has many features than Scorpio.,"Oct 27, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/my-dream-car-92043.htm
113,I bought the MG Hector Super Diesel MT after going through the specs and features. The fuel efficiency of the car is very good. The car is very spacious and comfortable for long journeys.,"Oct 23, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/mg-hector-super-diesel-mt-91645.htm
114,MG Hector is the best car in SUV because of its features and functions and its good look This is the car which hits and left all car behind by its selling point of view. I am a lover of this car too much.,"Oct 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/my-favourite-car-92115.htm
115,"Very stable and secure car from one of the leading SUV's MG Hector, Great design and interior implementation gives them an excellent look. Its 1965 cc engine creates a lightning power for an average of about 15-16 kmpl. Its a very good family pack for all those things and maintains an economic range. Go for it if you buy in this price segment without any obstruction.","Nov 03, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/internal-beauty-mg-hector-92599.htm
116,"The Hector looks the business, no two ways about it. The imposing hexagonal grille, the heavy chrome lining, and black detailing interspersed within the split LED headlamps, with their main units tucked into a recess, all make for a car that grabs your attention immediately, and holds on to it. For anyone wondering if these units are more prone to damage than more traditional lighting, the lamps on this car are very thoughtfully placed.","Nov 05, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/styling-looks-hector-92814.htm
117,Hector has an exclusive price and the best quality. This is a very good feature car because this car has internet and voice command.,"Oct 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/features-never-before-92095.htm
118,This is an excellent car in the segment. The mileage is impressive. ,"Oct 24, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/an-excellent-car-91709.htm
119,The features are impressive. The seating is very comfortable. The entertainment system is good. This is the best car in this segment.,"Oct 24, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/an-awesome-car-91708.htm
